Date,Open,High,Low,Close,Volume,Return
5/28/2021,4210.77,4218.36,4203.57,4204.11,1958464949,0.000768887
6/1/2021,4216.52,4234.12,4197.59,4202.04,2096973335,-0.000492375
6/2/2021,4206.82,4217.37,4198.27,4208.12,2028836814,0.001446916
6/3/2021,4191.43,4204.39,4167.93,4192.85,2194432214,-0.003628699
6/4/2021,4206.05,4233.45,4206.05,4229.89,1872715862,0.008834087
6/7/2021,4229.34,4232.34,4215.66,4226.52,1745172301,-0.000796711
6/8/2021,4233.81,4236.74,4208.41,4227.26,2109263760,0.000175085
6/9/2021,4232.99,4237.09,4218.74,4219.55,1792953976,-0.001823876
6/10/2021,4228.56,4249.74,4220.34,4239.18,1949114428,0.004652155
6/11/2021,4242.9,4248.38,4232.25,4247.44,1679469973,0.00194849
6/14/2021,4248.31,4255.59,4234.07,4255.15,1846240506,0.001815211
6/15/2021,4255.28,4257.16,4238.35,4246.59,1830754386,-0.00201168
6/16/2021,4248.87,4251.89,4202.45,4223.7,2220452064,-0.005390207
6/17/2021,4220.37,4232.29,4196.05,4221.86,2583091087,-0.000435637
6/18/2021,4204.78,4204.78,4164.4,4166.45,3608789593,-0.013124547
6/21/2021,4173.4,4226.24,4173.4,4224.79,2040521589,0.014002328
6/22/2021,4224.61,4255.84,4217.27,4246.44,1786553582,0.005124515
6/23/2021,4249.27,4256.6,4241.43,4241.84,1771820909,-0.00108326
6/24/2021,4256.97,4271.28,4256.97,4266.49,1871426376,0.005811157
6/25/2021,4274.45,4286.12,4271.16,4280.7,2751790926,0.003330607
6/28/2021,4284.9,4292.14,4274.67,4290.61,1992399601,0.002315042
6/29/2021,4293.21,4300.52,4287.04,4291.8,1830630923,0.00027735
6/30/2021,4290.65,4302.43,4287.96,4297.5,1949896699,0.001328114
7/1/2021,4300.73,4320.66,4300.73,4319.94,1803458464,0.00522164
7/2/2021,4326.6,4355.43,4326.6,4352.34,1535619737,0.007500104
7/6/2021,4356.46,4356.46,4314.37,4343.54,2075709900,-0.002021901
7/7/2021,4351.01,4361.88,4329.79,4358.13,1932877201,0.003359011
7/8/2021,4321.07,4330.88,4289.37,4320.82,2063982824,-0.008561011
7/9/2021,4329.38,4371.6,4329.38,4369.55,1791690914,0.011277952
7/12/2021,4372.41,4386.68,4364.03,4384.63,1707501002,0.003451156
7/13/2021,4381.07,4392.37,4366.92,4369.21,1764023047,-0.00351683
7/14/2021,4380.11,4393.68,4362.36,4374.3,2028264492,0.00116497
7/15/2021,4369.02,4369.02,4340.7,4360.03,1995704829,-0.003262236
7/16/2021,4367.43,4375.09,4322.53,4327.16,2026420335,-0.007538939
7/19/2021,4296.4,4296.4,4233.13,4258.49,2838151098,-0.015869531
7/20/2021,4265.11,4336.84,4262.05,4323.06,2430577637,0.015162652
7/21/2021,4331.13,4359.7,4331.13,4358.69,2101370626,0.008241847
7/22/2021,4361.27,4369.87,4350.06,4367.48,1845434194,0.002016661
7/23/2021,4381.2,4415.18,4381.2,4411.79,1752390418,0.010145439
7/26/2021,4409.58,4422.73,4405.45,4422.3,1812247096,0.002382253
7/27/2021,4416.38,4416.38,4372.51,4401.46,2085640391,-0.00471248
7/28/2021,4402.95,4415.47,4387.01,4400.64,2118843918,-0.000186302
7/29/2021,4403.59,4429.97,4403.59,4419.15,2019354788,0.004206206
7/30/2021,4395.12,4412.25,4389.65,4395.26,2245846882,-0.005406017
8/2/2021,4406.86,4422.18,4384.81,4387.16,1983436641,-0.001842894
8/3/2021,4392.74,4423.79,4373,4423.15,2174964518,0.008203485
8/4/2021,4415.95,4416.17,4400.23,4402.66,2331475675,-0.004632445
8/5/2021,4408.86,4429.76,4408.86,4429.1,1960628313,0.00600546
8/6/2021,4429.07,4440.82,4429.07,4436.52,1838165082,0.001675284
8/9/2021,4437.77,4439.39,4424.74,4432.35,1716583532,-0.000939926
8/10/2021,4435.79,4445.21,4430.03,4436.75,1916238169,0.000992701
8/11/2021,4442.18,4449.44,4436.42,4442.41,1871786539,0.001275709
8/12/2021,4446.08,4461.77,4435.96,4460.83,1628478428,0.004146398
8/13/2021,4464.84,4468.37,4460.82,4468,1532626658,0.001607324
8/16/2021,4461.65,4480.26,4437.66,4479.71,1750996492,0.002620859
8/17/2021,4462.12,4462.12,4417.83,4448.08,1917517410,-0.007060725
8/18/2021,4440.94,4454.32,4397.59,4400.27,1930293587,-0.010748458
8/19/2021,4382.44,4418.61,4367.73,4405.8,2214340942,0.001256741
8/20/2021,4410.56,4444.35,4406.8,4441.67,1834179903,0.008141541
8/23/2021,4450.29,4489.88,4450.29,4479.53,1854558750,0.008523821
8/24/2021,4484.4,4492.81,4482.28,4486.23,1743330697,0.001495693
8/25/2021,4490.45,4501.71,4485.66,4496.19,1777933554,0.002220127
8/26/2021,4493.75,4495.9,4468.99,4470,1642206826,-0.005824932
8/27/2021,4474.1,4513.33,4474.1,4509.37,1665809773,0.008807606
8/30/2021,4513.76,4537.36,4513.76,4528.79,1564582288,0.004306588
8/31/2021,4529.75,4531.39,4515.8,4522.68,2177504229,-0.001349146
9/1/2021,4528.8,4537.11,4522.02,4524.09,1943483583,0.000311762
9/2/2021,4534.48,4545.85,4524.66,4536.95,1778239902,0.002842561
9/3/2021,4532.42,4541.45,4521.3,4535.43,1529886805,-0.000335027
9/7/2021,4535.38,4535.38,4513,4520.03,1805777278,-0.003395488
9/8/2021,4518.09,4521.79,4493.95,4514.07,1783658630,-0.001318575
9/9/2021,4513.02,4529.9,4492.07,4493.28,1837254326,-0.0046056
9/10/2021,4506.92,4520.47,4457.66,4458.58,1860497153,-0.007722644
9/13/2021,4474.81,4492.99,4445.7,4468.73,2060402092,0.00227651
9/14/2021,4479.33,4485.68,4435.46,4443.05,2021922303,-0.005746599
9/15/2021,4447.49,4486.87,4438.37,4480.7,2126502586,0.008473909
9/16/2021,4477.09,4485.87,4443.8,4473.75,1846633558,-0.001551097
9/17/2021,4469.74,4471.52,4427.76,4432.99,3770722859,-0.009110925
9/20/2021,4402.95,4402.95,4305.91,4357.73,2601202238,-0.016977255
9/21/2021,4374.45,4394.87,4347.96,4354.19,1926605020,-0.00081235
9/22/2021,4367.43,4416.75,4367.43,4395.64,2024995238,0.009519566
9/23/2021,4406.75,4465.4,4406.75,4448.98,1974708404,0.012134752
9/24/2021,4438.04,4463.12,4430.27,4455.48,1687771288,0.001461009
9/27/2021,4442.12,4457.3,4436.19,4443.11,2044774771,-0.002776356
9/28/2021,4419.54,4419.54,4346.33,4352.63,2411082003,-0.020364114
9/29/2021,4362.41,4385.57,4355.08,4359.46,1899919741,0.001569166
9/30/2021,4370.67,4382.55,4306.24,4307.54,2292980186,-0.011909732
10/1/2021,4317.16,4375.19,4288.52,4357.04,2202907200,0.011491478
10/4/2021,4348.84,4355.51,4278.94,4300.46,2352030389,-0.01298588
